indicator,regex,phase2_role,outcome_information_used
hard_going_concern,"\bsubstantial\s+doubt\b.{0,120}\bgoing\s+concern\b",channel1_pilot_requires_context_validation,0
hard_going_concern,\bability\s+to\s+continue\s+as\s+a\s+going\s+concern\b,channel1_pilot_requires_context_validation,0
hard_default_acceleration,\bnotice\s+of\s+default\b,channel1_pilot_requires_context_validation,0
hard_default_acceleration,\b(?:an|the)\s+event\s+of\s+default\s+(?:has\s+occurred|had\s+occurred|occurred|exists|is\s+continuing|was\s+continuing)\b,channel1_pilot_requires_context_validation,0
hard_default_acceleration,\bwe\s+(?:are|were|have\s+been)\s+(?:currently\s+)?in\s+default\b,channel1_pilot_requires_context_validation,0
hard_default_acceleration,\bcross[-\s]?default\s+(?:was\s+)?triggered\b,channel1_pilot_requires_context_validation,0
hard_default_acceleration,\b(?:lenders?|creditors?)\s+(?:accelerated|have\s+accelerated)\s+(?:our\s+)?debt\b,channel1_pilot_requires_context_validation,0
hard_covenant_noncompliance,\bcovenant\s+(?:breach|violation|noncompliance)\b,channel1_pilot_requires_context_validation,0
hard_covenant_noncompliance,\b(?:breach|violation)\s+of\s+(?:a\s+)?(?:financial\s+)?covenants?\b,channel1_pilot_requires_context_validation,0
hard_covenant_noncompliance,\bnot\s+in\s+compliance\s+with\s+(?:the\s+)?(?:financial\s+)?covenants?\b,channel1_pilot_requires_context_validation,0
hard_unable_obligations,\b(?:unable|cannot|will\s+not\s+be\s+able)\s+to\s+(?:meet|satisfy|pay)\s+(?:our\s+)?(?:obligations|debt\s+service|commitments)\b,channel1_pilot_requires_context_validation,0
hard_forbearance_waiver,\bforbearance\s+agreement\b,channel1_pilot_requires_context_validation,0
hard_forbearance_waiver,\bcovenant\s+waiver\b,channel1_pilot_requires_context_validation,0
hard_forbearance_waiver,\bwaiver\s+from\s+(?:our\s+)?lenders?\b,channel1_pilot_requires_context_validation,0
hard_bankruptcy_restructuring,\bchapter\s+(?:7|11)\b,channel1_pilot_requires_context_validation,0
hard_bankruptcy_restructuring,\bbankruptcy\s+(?:filing|protection|petition|proceedings?)\b,channel1_pilot_requires_context_validation,0
hard_bankruptcy_restructuring,\b(?:consider|considering|contemplating)\s+(?:a\s+)?bankruptcy\b,channel1_pilot_requires_context_validation,0
hard_bankruptcy_restructuring,\bdistressed\s+exchange\b,channel1_pilot_requires_context_validation,0
